Method,Collision,Recovery,Smoothness,Status,Time,World,optimal_time,nav_metric
RL,0,3.1645559605835573e-07,-0.11741377941628911,success,6.339,world_2.world,8.86825474181807,0.5
RL,0,3.401359387292726e-07,-0.17233954528841955,success,5.888,world_2.world,8.86825474181807,0.5
RL,0,3.115263827020615e-07,-0.1398253667164418,success,6.428000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.154573137358632e-07,-0.2558577230139827,success,6.353,world_2.world,8.86825474181807,0.5
RL,0,3.095974273692176e-07,-0.20133741678096542,success,6.481000000000002,world_2.world,8.86825474181807,0.5
RL,0,3.154573137358632e-07,-0.18400289346015267,success,6.341000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.0864188004880247e-07,-0.16904295992038199,success,6.495000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.115263827020615e-07,-0.16018159347017197,success,6.426,world_2.world,8.86825474181807,0.5
RL,0,3.115263827020615e-07,-0.17500320293865126,success,6.424000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.105589097643138e-07,-0.1584824441391771,success,6.453999999999999,world_2.world,8.86825474181807,0.5
RL,0,3.0864188004880247e-07,-0.2375138572307934,success,6.486000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.0769221301778066e-07,-0.24477200410221195,success,6.508999999999999,world_2.world,8.86825474181807,0.5
RL,0,3.257327929209144e-07,-0.18888002897590722,success,6.1579999999999995,world_2.world,8.86825474181807,0.5
RL,0,3.1645559605835573e-07,-0.1362044834300157,success,6.324,world_2.world,8.86825474181807,0.5
RL,0,3.1446530991656923e-07,-0.2092664883365891,success,6.367000000000001,world_2.world,8.86825474181807,0.5
RL,0,3.115263827020615e-07,-0.14349346961820883,success,6.4399999999999995,world_2.world,8.86825474181807,0.5
RL,0,0.010638561000382712,-0.6788511071293604,success,7.533999999999999,world_0.world,9.215256159131702,0.5
RL,0,2.6737960765251136e-07,-0.6938587509614004,success,7.4879999999999995,world_0.world,9.215256159131702,0.5
RL,0,2.7397252767875955e-07,-0.5941366248061091,success,7.314000000000004,world_0.world,9.215256159131702,0.5
RL,0,2.7624301761242613e-07,-0.6153057220819562,success,7.240000000000002,world_0.world,9.215256159131702,0.5
RL,0,0.016000262399930028,-0.7187969145750852,success,7.508999999999999,world_0.world,9.215256159131702,0.5
RL,0,0.04155869050423623,-0.8544952236502535,success,7.718999999999998,world_0.world,9.215256159131702,0.5
RL,0,2.785514544424918e-07,-0.5126867579732567,success,7.186999999999998,world_0.world,9.215256159131702,0.5
RL,0,0.002809268873800878,-0.7013896912670095,success,7.138,world_0.world,9.215256159131702,0.5
